ts,date,setup,level,dir,entry,stop,t1,t2,add_slope,vold_slope,trin_slope,divergence,atr5m,qualified,suppression_reason,taken,outcome,R,day_type
09:32,2026-08-03,Cluster Fade,7566.0,SHORT,7565.0,7575.0,7550.0,7538.0,,,,,4.0,N,WINDOW,N,,,TREND_UP
11:05,2026-08-03,Cluster Fade,7618.0,SHORT,7617.0,7627.0,7602.0,7590.0,31.034,27586206.897,-0.028,,4.0,N,SLOPE:DIRECTION,N,,,TREND_UP
11:26,2026-08-03,Cluster Fade,7614.0,SHORT,7613.0,7623.0,7598.0,7586.0,31.034,27586206.897,-0.028,,4.0,N,SLOPE:DIRECTION,N,,,TREND_UP
12:13,2026-08-03,Cluster Fade,7603.0,SHORT,7602.0,7612.0,7587.0,7575.0,,,,,4.0,N,WINDOW,N,,,TREND_UP
12:54,2026-08-03,Cluster Fade,7606.0,SHORT,7605.0,7615.0,7590.0,7578.0,,,,,4.0,N,WINDOW,N,,,TREND_UP
13:21,2026-08-03,Cluster Fade,7618.0,SHORT,7617.0,7627.0,7602.0,7590.0,,,,,4.0,N,WINDOW,N,,,TREND_UP
10:49,2026-07-16,Cluster Fade,7618.0,SHORT,7617.0,7627.0,7601.0,7589.0,-20.69,-27586206.897,0.029,600.0,4.0,Y,,N,,,TREND_DOWN
10:37,2026-07-22,Pullback-Hold,7500.0,LONG,7502.0,7492.0,7518.0,7530.0,25.862,25862068.966,-0.026,750.0,4.0,Y,,N,,,TREND_UP
11:35,2026-07-24,Cluster Fade,7660.0,SHORT,7659.0,7669.0,7643.0,7631.0,,,,,4.0,N,WINDOW,N,,,TREND_UP
09:32,2026-07-30,Cluster Fade,7618.0,SHORT,7617.0,7627.0,7601.0,7589.0,,,,,4.0,N,WINDOW,N,,,CHOP
15:46,2026-07-28,Cluster Fade,7618.0,SHORT,7617.0,7627.0,7601.0,7589.0,,,,,4.0,N,WINDOW,N,,,CHOP
11:05,2026-07-16,Cluster Fade,7618.0,SHORT,7617.0,7627.0,7601.0,7589.0,,,,,4.0,N,DEBOUNCE,N,,,TREND_DOWN
